Scientific Name,Spore Colour,Edibility,Identification Tips,Look-Alikes,Ecology,Fun Facts,Etymology,Informal Group Names,Other Notes
Cyanosporus livens,Blue-Grey,Nope,"Identifiable in field if typical specimen

Brown rotting, blue tints (not consistent) will get you to genus. Large size, hairy cap, and not on poplar should be good enough support C. livens. At least for NE USA. Rockies and California have more, different species. Southern Range (GA, FL?) could also have funky look alikes

-check wood rotting type

","C. caesius, European species; C. populi, mostly on poplars; C. comatus, toothing pores; Tyromyces sp., white rotting",Brown Rot on hardwood and conifer,Dude who named it initially was trolling: N.J. McGinty,Blue-spored bluey,Polypore,"Table key to genus: https://mycokeys.pensoft.net/article/126139/

Was seperated from Tyromyces because of different ecology!

can be identified easily by their size and hairy upper
surface. Identification of younger or dwarf-sized collections is
more difficult, however. Postia caesiosimulans and P. populi
have in general thicker-walled tramal hyphae, narrower context
hyphae and spores, and their pores are slightly smaller. Postia
simulans produces in average longer and wider basidiospores,
and its tramal hyphae collapse commonly unlike those of P. livens.
-Postia caesia complex (Polyporales, Basidiomycota) in temperate Northern Hemisphere

Most common sequence in Northeastern NA"
Amanita brunnescens,White,Danger Zone,"Easily identifiable

Brown or white cap, usually bulbous cleft foot, reddening

-dig up base",Other Validae if foot isn't clefted. Should be easy ID everywhere (That I know of... maybe FL weird),Mycorrhizal with hardwoods and conifer,comes in white to dark brown and all in between,"brunn - brown
escens - ing",Agaric,Stands the test of DNA
Hydnoporia tabacina,Unknown,Nope,"Identifiable in field with hand lens

Examine fertile surface with hand lens to see conical cystidia! That will seperate it from Hymenochaete rubiginosa. Species of Punctularia have merulioid hymeniums. All other crusts are different in color or structure or both!

-Hand lens on hymenium","Hymenochaete rubiginosa, without conical hymenial setae; Punctularia strigosozonata (several DNA species present), merulioid hymeniums",Saprobic on hardwood,Turns black in KOH (Hymnochaetales),toothy pored tabacco-like (color wise),Crust,Doesn't seem to be any DNA iffyness. 
Tylopilus felleus,,Nope,"Idenfiable and confirmable in the field

The brown cap, brown reticulation over a tan stipe, and pores turning pinkish are quite distinct. That being said, ",,,,,Bolete,UNFINISHED
Entoloma foliomarginatum,Pink,Probably not,"Easily identified in field if healthy specimen

The brown scaly cap, blueish stem, and marginate gills seperate it from all other species. If you see a similar species but without one of these features, that's a tough ID.

Once you leave the Northeast, there are lookalikes, but thankfully this species is only seen in the NE so far","If fresh, none. Otherwise every other Cyanula",Saprobic,Species definitely brought to light by DNA sequencing efforts,The border-gilled inner-fringe. Entoloma inner-fringe referring to inrolled margin (not useful for ID),Pinkgill,Rare identifiable Entoloma
Amanita submaculata,White,Danger Zone,"Identifiable in the field

Brownish to grey cap with the skirt all the way at the apex of the stem is pretty distinct out of the Validae.


",Amanita porphyria; Amanita morisii,Mycorrhizal with oaks,,Nearly spotted Amanita,Agaric,UNFINISHED
Pseudomerulius aureus,Yellow,Nope,"Easily identifiable in the field

Is resupinate or with tiny reflexed caps only. That and the yellow color make it unique

West Coast, FL, and other areas may have more diversity, but this should be a solid species in Northeastern NA","Peudomerulius curtisii, much larger and with actual caps; Serpula himantoides, much browner in hymenium color rather than bright yellow; Tapinella panuoides, usually more yellow-tan and with real gills, but in youth can be quite similar",Saprobic on decorticated conifer wood,,Golden false merulius,Crust; Merulioid,"While current DNA name is a provisional, seems to be the only species for the Northeastern US!"
Cortinarius caperatus,Brown-Rusty,Yes,"Easily identifiable in the field

The slanted partial veil with the brown white colors is very distinct","Cortinarius sp. 'Harrower53', a DNA name from the Pacific Northwest",Mycorrhizal with hardwoods and conifers,One of the few corts with a real partial veil!,Furrowed curtain. Not the most helpful haha,Cort,
Caloboletus inedulis,Brown-Olive,Nope,,,,,,Bolete,"UNFINISHED

lots of dna possibilities maybe
"
Guepinia helvelloides,,,"Easily identifiable in the field

For Northeastern North America, there is currently only one DNA look-alike in New Brunswick. And our name is a provisional.

West coast seems to have a lot more going on, need more info to identify to species!

Otherwise a very unique species

",Other Guepinia DNA uncovered species,,,,,UNFINISHED
Russula ochroleucoides,White,Nope,"identification diff

Found in North American Northeast, roughly in line with the Appalachian mountains

Yellow russulas are thankfully uncommon. The yellow cap with white stem seperate it from all other Russulas beside claroflava. Association with oaks, no red-blackening flesh, and a white spore print will separate ochroleucoides from claroflava.

","R. flavidus complex (3 spp.), have stems concolorous with cap; R. earliei complex (2 spp.), less yellow and have un-Russula like widely spaced gills; R. claroflava bruises red then black, is associated with birch and maybe conifers, and has an (E-F) pale ochre spore print.",Mycorrhizal with oaks and maybe beech,,"ochro - pale yellow, leuco - white, oides - resembling",Agaric,A Russula you can actually ID... what more do you want?
Paxillus cuprinus,Brown-Reddish,Nope,difficult to seperate between other present species.. hmm,,,,,Agaric; Funnel Shaped,UNFINISHED
Pluteus granularis,Pink,Probably not,"Identifiable in the field in Northeastern NA. In Pacific Northwest, there are some similar species and you should collect and make good observations


The cap veining immediately distinguished this mushroom from almost all others. The free pink spored gills tell us its Pluteus. After that the brown granular caps and concolored and contextured (is that a word?) stem seperate it from other veined-capp Pluteus' in NE NA. 

The situation is similar but less understood in PNW. Collect these to find out more!","P. thomsonii complex (2+ spp.), no granules, veins not as 'integrated' into cap; ",On wood,,Granulose... haha,Agarics on Logs; Agaric,"P. granularis is also one of the most common NE NA DNA sequences, so just statistically it is a good ID guess."
Mycena crocea,White,Probably not,"Identifiable easily if you make sure its growing on a walnnut or hickory shell!

The yellow colors and shell habitat make this quite unique. Look for a circular growth pattern, as if a circular shell was under the ground...","M. epipterygia group (2+ spp.) grows on wood; Mycena sp. 'QC07', only found once near Montreal so far grows on acorns","on Walnut and Hickory shells, likely fully or partially buried!",,crocea means yellow,Agaric; Small White Spored  Litter Decomposers,
Sphaerosporium lignatile,,Nope,"Identifiable with a hand lens, but likely there are more hidden species out there, collect and observe more!

This almost looks like a slime mold, but has large orange spores! It is basically a lump of tiny spheres, unlike Bactridium which do not have globose spores and are composed of more elongated pieces instead of spheres. Additionally Sphaerosporium lignatiles fruiting body grows in an irregural lumpy pattern while Bactridium makes neat little seperated spheres (but is comprimised of elongated pieces).","Bactridium spp., spherical growth with elongated pieces",On wood,I think this is just the anamorph? And there are likely more similar species to find!,globe-spored living on wood,Unusual Things on Wood,
Cystoagaricus lepidotoides,,Probably not,,,,,,Agarics on Logs; Agaric,UNFINISHED
